Country,Region,ISO3,Observation Period,Unit of Analysis,Population Scope,Income Definition,Input Mode,Currency,Gross Minimum Wage Monthly,Estimated Tax Wedge Percent,Net Conversion Factor,Actual Income,Actual Income Period,Baseline Income,Baseline Income Period,Food Component (Monthly Per-Capita LCU),Housing+Utilities Component (Monthly Per-Capita LCU),Average Household Size,Minimum Wage Unit,Minimum Wage Monthly After Tax Low,Minimum Wage Monthly After Tax High,Minimum Cost of Living Monthly Low,Minimum Cost of Living Monthly High,Income Index,LMI,Income Index Low,Income Index High,LMI Low,LMI High,Baseline Method,Calibration Notes,Source - Baseline Components,Source URL - Baseline Components,Source - Income,Source URL - Income,Source - Population,Source URL - Population,Computed At (UTC)
New Zealand,New Zealand,NZL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,3674.670000,20.136624,0.798634,2934.715519,monthly,3690.628464,monthly,459.737883,959.734603,2.600000,LCU,2934.715519,2934.715519,3690.628464,3690.628464,0.795180,-0.204820,0.795180,0.795180,-0.204820,-0.204820,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7986.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Netherlands,Netherlands,NLD,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1756.200000,35.483519,0.645165,1133.038439,monthly,1490.521119,monthly,222.063951,446.331170,2.230000,LCU,1133.038439,1133.038439,1490.521119,1490.521119,0.760163,-0.239837,0.760163,0.760163,-0.239837,-0.239837,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6452.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Australia,Australia,AUS,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,3520.570000,26.896167,0.731038,2573.671613,monthly,3459.477313,monthly,409.387917,947.269852,2.550000,LCU,2573.671613,2573.671613,3459.477313,3459.477313,0.743948,-0.256052,0.743948,0.743948,-0.256052,-0.256052,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7310.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
United Kingdom,United Kingdom,GBR,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1574.250000,31.548899,0.684511,1077.591457,monthly,1537.852482,monthly,158.775122,495.630190,2.350000,LCU,1077.591457,1077.591457,1537.852482,1537.852482,0.700712,-0.299288,0.700712,0.700712,-0.299288,-0.299288,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6845.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Canada,Canada,CAN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,2470.000000,31.862935,0.681371,1682.985506,monthly,2685.753709,monthly,306.869485,789.356519,2.450000,LCU,1682.985506,1682.985506,2685.753709,2685.753709,0.626634,-0.373366,0.626634,0.626634,-0.373366,-0.373366,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6814.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Germany,Germany,DEU,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1739.000000,47.847842,0.521522,906.926028,monthly,1453.705730,monthly,216.761530,462.540213,2.140000,LCU,906.926028,906.926028,1453.705730,1453.705730,0.623872,-0.376128,0.623872,0.623872,-0.376128,-0.376128,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5215.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Slovenia,Slovenia,SVN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1074.430000,42.796660,0.572033,614.609846,monthly,1013.683431,monthly,174.659040,235.739110,2.470000,LCU,614.609846,614.609846,1013.683431,1013.683431,0.606313,-0.393687,0.606313,0.606313,-0.393687,-0.393687,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5720.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Ireland,Ireland,IRL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1774.500000,34.720260,0.652797,1158.388986,monthly,1946.602022,monthly,169.923659,517.921579,2.830000,LCU,1158.388986,1158.388986,1946.602022,1946.602022,0.595083,-0.404917,0.595083,0.595083,-0.404917,-0.404917,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6528.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
France,France,FRA,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1645.580000,46.997952,0.530020,872.191101,monthly,1476.367921,monthly,223.535793,441.494802,2.220000,LCU,872.191101,872.191101,1476.367921,1476.367921,0.590768,-0.409232,0.590768,0.590768,-0.409232,-0.409232,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5300.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Japan,Japan,JPN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,166573.330000,32.649266,0.673507,112188.360403,monthly,192798.012287,monthly,32135.533961,50610.394060,2.330000,LCU,112188.360403,112188.360403,192798.012287,192798.012287,0.581896,-0.418104,0.581896,0.581896,-0.418104,-0.418104,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6735.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Luxembourg,Luxembourg,LUX,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,2313.380000,40.378668,0.596213,1379.267970,monthly,2405.316063,monthly,309.544589,688.511868,2.410000,LCU,1379.267970,1379.267970,2405.316063,2405.316063,0.573425,-0.426575,0.573425,0.573425,-0.426575,-0.426575,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5962.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Spain,Spain,ESP,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1166.670000,39.484566,0.605154,706.015414,monthly,1261.274251,monthly,180.575515,308.290473,2.580000,LCU,706.015414,706.015414,1261.274251,1261.274251,0.559764,-0.440236,0.559764,0.559764,-0.440236,-0.440236,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6052.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Belgium,Belgium,BEL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1842.280000,53.047897,0.469521,864.989203,monthly,1675.686539,monthly,232.357409,489.921271,2.320000,LCU,864.989203,864.989203,1675.686539,1675.686539,0.516200,-0.483800,0.516200,0.516200,-0.483800,-0.483800,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.4695.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Lithuania,Lithuania,LTU,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,730.000000,38.218823,0.617812,451.002592,monthly,967.638378,monthly,216.538078,190.032669,2.380000,LCU,451.002592,451.002592,967.638378,967.638378,0.466086,-0.533914,0.466086,0.466086,-0.533914,-0.533914,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6178.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Poland,Poland,POL,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,3010.000000,33.619529,0.663805,1998.052177,monthly,4411.053207,monthly,742.675658,821.527607,2.820000,LCU,1998.052177,1998.052177,4411.053207,4411.053207,0.452965,-0.547035,0.452965,0.452965,-0.547035,-0.547035,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6638.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Costa Rica,Costa Rica,CRI,2021,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,324560.010000,29.249012,0.707510,229629.413728,monthly,509134.367681,monthly,93241.132756,65367.704528,3.210000,LCU,229629.413728,229629.413728,509134.367681,509134.367681,0.451019,-0.548981,0.451019,0.451019,-0.548981,-0.548981,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7075.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Hungary,Hungary,HUN,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,200000.000000,41.150442,0.588496,117699.116000,monthly,263174.459666,monthly,47370.457531,64144.144022,2.360000,LCU,117699.116000,117699.116000,263174.459666,263174.459666,0.447228,-0.552772,0.447228,0.447228,-0.552772,-0.552772,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5885.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Israel,Israel,ISR,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,5300.000000,23.568970,0.764310,4050.844590,monthly,9361.130599,monthly,1146.515189,1834.736594,3.140000,LCU,4050.844590,4050.844590,9361.130599,9361.130599,0.432730,-0.567270,0.432730,0.432730,-0.567270,-0.567270,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.7643.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Greece,Greece,GRC,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,831.830000,37.075629,0.629244,523.423795,monthly,1251.821694,monthly,204.081489,284.911361,2.560000,LCU,523.423795,523.423795,1251.821694,1251.821694,0.418130,-0.581870,0.418130,0.418130,-0.581870,-0.581870,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6292.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Czechia,Czechia,CZE,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,16200.000000,39.818328,0.601817,9749.430864,monthly,24126.250759,monthly,3897.258257,6413.105315,2.340000,LCU,9749.430864,9749.430864,24126.250759,24126.250759,0.404101,-0.595899,0.404101,0.404101,-0.595899,-0.595899,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6018.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Portugal,Portugal,PRT,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,822.500000,41.930959,0.580690,477.617862,monthly,1191.090660,monthly,230.937719,230.725327,2.580000,LCU,477.617862,477.617862,1191.090660,1191.090660,0.400992,-0.599008,0.400992,0.400992,-0.599008,-0.599008,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5807.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Estonia,Estonia,EST,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,654.000000,39.004838,0.609952,398.908359,monthly,1069.319934,monthly,213.484055,251.437655,2.300000,LCU,398.908359,398.908359,1069.319934,1069.319934,0.373049,-0.626951,0.373049,0.373049,-0.626951,-0.626951,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6100.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
United States,United States,USA,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,1256.670000,30.468589,0.695314,873.780383,monthly,2689.177338,monthly,294.856964,785.133934,2.490000,LCU,873.780383,873.780383,2689.177338,2689.177338,0.324925,-0.675075,0.324925,0.324925,-0.675075,-0.675075,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.6953.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Latvia,Latvia,LVA,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,500.000000,40.550309,0.594497,297.248455,monthly,942.374952,monthly,200.205156,216.774911,2.260000,LCU,297.248455,297.248455,942.374952,942.374952,0.315425,-0.684575,0.315425,0.315425,-0.684575,-0.684575,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5945.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
Slovak Republic,Slovak Republic,SVK,2022,individual,country-level proxy using statutory minimum wage,Estimated net minimum wage monthly (gross * (1 - tax wedge)),proxy,LCU,646.000000,41.599321,0.584007,377.268386,monthly,1351.870890,monthly,179.981324,286.181052,2.900000,LCU,377.268386,377.268386,1351.870890,1351.870890,0.279071,-0.720929,0.279071,0.279071,-0.720929,-0.720929,Direct baseline: (food + housing/utilities) per-capita scaled by average household size,Tax wedge year 2022; net conversion factor 0.5840.,"OECD DSD_NAMAIN10@DF_TABLE5_T501 (CP01, CP04, XDC.V) converted to per-capita monthly; scaled to household baseline using UN average household size",https://db.nomics.world/OECD/DSD_NAMAIN10@DF_TABLE5_T501,"ILOSTAT EAR_4MMN_CUR_NB (gross monthly minimum wage, LCU) adjusted by OECD DP_LIVE TAXWEDGE (TOT, PC_LC)",https://db.nomics.world/ILO/EAR_4MMN_CUR_NB,World Bank WDI SP.POP.TOTL,https://api.worldbank.org/v2/en/indicator/SP.POP.TOTL?format=json,2026-03-17T12:14:17Z
